minute,rmssd,coverage,hf,lf
2024-02-02T01:25:00.000,27.272,0.845,169.418,277.898
2024-02-02T01:30:00.000,36.967,0.994,445.799,678.892
2024-02-02T01:35:00.000,40.832,0.985,746.646,411.168
2024-02-02T01:40:00.000,36.915,1.004,558.168,588.284
2024-02-02T01:45:00.000,39.923,1.001,593.189,330.509
2024-02-02T01:50:00.000,36.356,1.006,682.739,223.506
2024-02-02T01:55:00.000,32.822,1.003,491.485,289.107
2024-02-02T02:00:00.000,37.075,1.001,562.602,280.617
2024-02-02T02:05:00.000,21.745,0.73,116.789,204.709
2024-02-02T02:10:00.000,26.726,0.995,302.473,534.407
2024-02-02T02:15:00.000,21.921,0.876,155.998,867.968
2024-02-02T02:20:00.000,25.328,1.001,299.841,582.966
2024-02-02T02:25:00.000,30.692,0.9520000000000001,348.097,776.815
2024-02-02T02:30:00.000,30.794,0.868,388.752,2246.342
2024-02-02T02:35:00.000,27.244,0.996,368.799,377.879
2024-02-02T02:40:00.000,39.968,1.004,718.9,443.552
2024-02-02T02:45:00.000,41.787,1.003,649.993,417.216
2024-02-02T02:50:00.000,44.82,1.005,879.758,318.514
2024-02-02T02:55:00.000,48.626,1.002,942.046,474.487
2024-02-02T03:00:00.000,54.086,1.003,1147.332,415.479
2024-02-02T03:05:00.000,61.261,0.8300000000000001,1527.067,767.152
2024-02-02T03:10:00.000,42.782,0.776,469.338,338.9
2024-02-02T03:15:00.000,62.985,1.004,1409.564,413.442
2024-02-02T03:20:00.000,64.06,1.003,1305.409,634.338
2024-02-02T03:25:00.000,67.667,1.001,1552.735,713.654
2024-02-02T03:30:00.000,71.154,1.005,1577.504,576.954
2024-02-02T03:35:00.000,59.95,0.981,1309.599,544.944
2024-02-02T03:40:00.000,43.646,0.7020000000000001,231.684,566.424
2024-02-02T03:45:00.000,24.358,0.991,117.937,505.027
2024-02-02T03:50:00.000,35.49,0.9430000000000001,398.319,819.465
2024-02-02T03:55:00.000,35.378,0.9380000000000001,301.555,1343.762
2024-02-02T04:00:00.000,36.293,0.909,619.338,1879.717
2024-02-02T04:05:00.000,66.834,0.9400000000000001,1843.765,1883.239
2024-02-02T04:10:00.000,57.526,0.878,1052.551,1432.435
2024-02-02T04:15:00.000,58.427,1.004,1210.61,1351.813
2024-02-02T04:20:00.000,53.042,1.004,750.411,761.482
2024-02-02T04:25:00.000,55.863,0.9420000000000001,1014.44,739.413
2024-02-02T04:30:00.000,68.557,1.003,1735.626,904.889
2024-02-02T04:35:00.000,64.899,0.9460000000000001,1217.943,650.766
2024-02-02T04:40:00.000,56.768,0.929,1250.528,790.904
2024-02-02T04:45:00.000,64.697,0.889,1344.127,3174.488
2024-02-02T04:50:00.000,66.078,0.894,1007.423,4509.049
2024-02-02T04:55:00.000,70.942,0.85,1699.511,3890.416
2024-02-02T05:00:00.000,64.875,0.911,1352.182,1629.462
2024-02-02T05:05:00.000,84.908,0.932,1580.919,5118.042
2024-02-02T05:10:00.000,74.73,0.866,1657.938,2312.378
2024-02-02T05:15:00.000,77.614,0.9580000000000001,1642.225,1732.701
2024-02-02T05:20:00.000,82.467,0.899,2011.766,3635.456
2024-02-02T05:25:00.000,73.04,0.905,1554.88,3423.146
2024-02-02T05:30:00.000,89.564,0.911,1705.544,1974.593
2024-02-02T05:35:00.000,85.575,0.9390000000000001,1523.519,3133.111
2024-02-02T05:40:00.000,97.917,0.981,2426.383,2577.523
2024-02-02T05:45:00.000,85.65,1.004,2301.763,2153.132
2024-02-02T05:50:00.000,79.666,0.911,1303.169,2576.716
2024-02-02T05:55:00.000,73.49,0.935,1803.252,2172.505
2024-02-02T06:00:00.000,80.256,0.932,2766.77,3017.088
2024-02-02T06:05:00.000,68.561,1.004,1497.729,1878.984
2024-02-02T06:10:00.000,70.243,0.997,1663.475,1042.711
2024-02-02T06:15:00.000,75.608,1.002,1466.466,1385.406
2024-02-02T06:20:00.000,68.831,0.927,1220.048,1596.952
2024-02-02T06:25:00.000,70.804,0.74,1038.218,1494.472
2024-02-02T06:30:00.000,80.206,0.74,1505.595,1652.775
2024-02-02T22:55:00.000,45.498,0.9410000000000001,616.709,759.453
2024-02-02T23:00:00.000,58.906,1.005,1392.494,638.996
2024-02-02T23:05:00.000,64.231,1.001,1435.644,899.749
2024-02-02T23:10:00.000,60.89,1.004,1212.126,638.84
2024-02-02T23:15:00.000,60.048,1.005,1440.186,894.686
2024-02-02T23:20:00.000,53.565,1.004,893.6,455.743
2024-02-02T23:25:00.000,46.68,0.935,500.491,3113.065
2024-02-02T23:30:00.000,51.796,1.004,931.772,744.045
2024-02-02T23:35:00.000,47.973,1.002,842.835,439.825
2024-02-02T23:40:00.000,46.891,1.002,719.093,597.05
2024-02-02T23:45:00.000,48.834,0.996,753.256,519.44
2024-02-02T23:50:00.000,57.54,1.003,1119.852,324.232
2024-02-02T23:55:00.000,58.229,1.003,1407.253,336.319
