minute,rmssd,coverage,hf,lf
2023-12-01T01:35:00.000,40.28,0.939,569.871,1643.486
2023-12-01T01:40:00.000,44.074,0.8250000000000001,627.219,559.847
2023-12-01T01:45:00.000,58.743,0.956,1172.685,1479.293
2023-12-01T01:50:00.000,47.997,0.975,840.195,544.381
2023-12-01T01:55:00.000,47.147,1.002,712.663,451.892
2023-12-01T02:00:00.000,47.463,0.92,787.02,2581.631
2023-12-01T02:05:00.000,48.731,1.002,854.901,352.0
2023-12-01T02:10:00.000,51.564,1.004,1207.504,627.217
2023-12-01T02:15:00.000,45.181,0.924,498.463,2181.069
2023-12-01T02:20:00.000,45.638,0.924,589.413,1837.202
2023-12-01T02:25:00.000,47.261,1.002,725.888,1834.078
2023-12-01T02:30:00.000,48.151,1.003,889.331,819.454
2023-12-01T02:35:00.000,51.248,1.005,1160.277,1056.565
2023-12-01T02:40:00.000,50.2,1.003,816.342,788.707
2023-12-01T02:45:00.000,41.591,0.914,386.22,897.467
2023-12-01T02:50:00.000,35.744,1.005,364.575,1525.816
2023-12-01T02:55:00.000,27.123,0.973,181.856,570.572
2023-12-01T03:00:00.000,38.335,0.957,431.618,976.985
2023-12-01T03:05:00.000,39.535,0.925,389.066,854.024
2023-12-01T03:10:00.000,43.531,0.925,562.36,739.07
2023-12-01T03:15:00.000,50.526,0.966,980.855,2010.969
2023-12-01T03:20:00.000,45.434,1.002,606.249,1754.06
2023-12-01T03:25:00.000,48.321,1.004,918.992,854.013
2023-12-01T03:30:00.000,55.13,1.004,1053.844,797.073
2023-12-01T03:35:00.000,50.718,1.004,869.794,650.566
2023-12-01T03:40:00.000,55.425,0.995,904.609,703.281
2023-12-01T03:45:00.000,62.869,0.903,1638.724,1619.825
2023-12-01T03:50:00.000,65.261,1.002,1340.672,545.299
2023-12-01T03:55:00.000,70.904,1.005,1838.054,686.411
2023-12-01T04:00:00.000,60.564,0.994,1116.833,2080.837
2023-12-01T04:05:00.000,71.051,0.988,1642.712,3088.187
2023-12-01T04:10:00.000,82.882,0.877,2590.366,4288.044
2023-12-01T04:15:00.000,86.748,0.997,2501.884,996.779
2023-12-01T04:20:00.000,78.603,1.002,2609.646,2058.532
2023-12-01T04:25:00.000,55.215,0.802,484.736,1431.474
2023-12-01T04:30:00.000,51.923,1.002,881.916,2003.171
2023-12-01T04:35:00.000,71.843,0.908,1529.522,1076.443
2023-12-01T04:40:00.000,71.423,0.99,1288.236,2217.264
2023-12-01T04:45:00.000,55.698,0.931,1543.95,864.476
2023-12-01T04:50:00.000,55.202,0.953,802.24,810.269
2023-12-01T04:55:00.000,61.513,0.964,1402.799,1066.046
2023-12-01T05:00:00.000,56.355,0.962,1096.036,1586.575
2023-12-01T05:05:00.000,48.191,0.975,766.649,817.595
2023-12-01T05:10:00.000,58.296,1.003,1269.851,895.62
2023-12-01T05:15:00.000,55.735,1.004,1166.361,553.965
2023-12-01T05:20:00.000,59.582,0.805,1135.197,2453.211
2023-12-01T05:35:00.000,55.586,0.972,1034.167,1260.172
2023-12-01T05:40:00.000,68.669,0.943,1639.2,1957.144
2023-12-01T05:45:00.000,55.272,0.997,1193.026,804.923
2023-12-01T05:50:00.000,57.804,0.992,866.009,3008.135
2023-12-01T05:55:00.000,41.523,0.887,488.788,1240.271
2023-12-01T06:00:00.000,49.814,1.004,763.58,2172.561
2023-12-01T06:05:00.000,51.665,0.934,738.759,2314.625
2023-12-01T06:10:00.000,46.809,0.836,802.312,1002.673
2023-12-01T06:15:00.000,52.421,0.835,854.341,1552.608
2023-12-02T00:50:00.000,37.195,0.808,442.49,1539.293
2023-12-02T00:55:00.000,46.556,0.991,875.109,1261.059
2023-12-02T01:00:00.000,44.955,0.942,679.738,211.669
2023-12-02T01:05:00.000,49.234,0.992,966.959,592.688
2023-12-02T01:10:00.000,38.436,1.004,573.929,283.166
2023-12-02T01:15:00.000,35.104,1.002,471.383,293.722
2023-12-02T01:20:00.000,35.957,1.005,546.374,931.729
2023-12-02T01:25:00.000,37.547,0.85,383.542,639.013
2023-12-02T01:30:00.000,45.078,1.003,913.351,535.558
2023-12-02T01:35:00.000,46.112,1.004,942.825,395.814
2023-12-02T01:40:00.000,38.786,0.933,687.002,344.295
2023-12-02T01:45:00.000,29.782,0.903,335.894,1295.701
2023-12-02T01:50:00.000,22.231,1.001,229.899,355.359
2023-12-02T01:55:00.000,17.224,0.976,42.192,264.335
2023-12-02T02:00:00.000,31.031,0.98,271.53,1164.003
2023-12-02T02:05:00.000,34.441,0.995,359.891,831.926
2023-12-02T02:10:00.000,42.044,0.935,613.171,1043.581
2023-12-02T02:15:00.000,45.503,0.974,746.839,1348.994
2023-12-02T02:20:00.000,42.901,1.003,542.219,560.537
2023-12-02T02:25:00.000,48.58,1.005,822.236,681.427
2023-12-02T02:30:00.000,47.927,1.002,762.414,931.529
2023-12-02T02:35:00.000,47.191,0.941,586.965,2383.167
2023-12-02T02:40:00.000,49.311,0.996,746.061,745.283
2023-12-02T02:45:00.000,53.969,1.003,1125.629,543.099
2023-12-02T02:50:00.000,54.01,1.004,1080.206,515.589
2023-12-02T02:55:00.000,64.889,0.944,1200.613,1440.529
2023-12-02T03:00:00.000,50.289,1.002,934.906,1066.45
2023-12-02T03:05:00.000,55.765,1.006,1035.963,826.188
2023-12-02T03:10:00.000,51.203,0.957,1039.259,2806.567
2023-12-02T03:15:00.000,50.249,1.004,807.951,2623.629
2023-12-02T03:20:00.000,38.879,0.973,439.644,1511.523
2023-12-02T03:25:00.000,46.711,0.94,721.384,2072.863
2023-12-02T03:40:00.000,56.251,0.969,834.074,859.741
2023-12-02T03:45:00.000,49.165,1.004,812.511,753.606
2023-12-02T03:50:00.000,50.331,1.004,935.055,571.39
2023-12-02T03:55:00.000,55.053,1.002,935.62,1053.975
2023-12-02T04:00:00.000,49.772,0.975,868.993,403.591
2023-12-02T04:05:00.000,51.75,0.973,835.798,479.732
2023-12-02T04:10:00.000,46.083,0.788,614.599,933.51
2023-12-02T04:15:00.000,58.965,1.003,1147.267,735.972
2023-12-02T04:20:00.000,54.312,1.005,908.082,397.256
2023-12-02T04:25:00.000,56.229,1.001,1009.703,727.631
2023-12-02T04:30:00.000,38.873,0.899,383.062,1008.15
2023-12-02T04:35:00.000,45.835,0.94,810.695,1848.801
2023-12-02T04:40:00.000,37.899,0.94,295.988,1111.287
2023-12-02T04:45:00.000,38.545,0.994,523.665,1248.953
2023-12-02T04:50:00.000,54.975,0.868,1056.772,3594.34
2023-12-02T04:55:00.000,55.316,0.977,984.192,4056.437
2023-12-02T05:00:00.000,53.949,0.99,677.094,2249.428
2023-12-02T05:05:00.000,47.731,1.003,912.561,1395.101
2023-12-02T05:10:00.000,42.374,0.955,585.139,1132.337
2023-12-02T05:15:00.000,40.681,0.964,475.866,556.245
2023-12-02T05:20:00.000,51.091,0.973,867.271,1188.815
2023-12-02T05:25:00.000,49.308,0.974,697.15,871.15
2023-12-02T05:30:00.000,49.149,1.001,818.968,722.811
2023-12-02T05:35:00.000,46.384,0.916,840.22,3940.684
2023-12-02T05:40:00.000,61.937,0.94,1318.745,956.078
2023-12-02T05:45:00.000,60.357,0.995,1214.224,595.922
2023-12-02T05:50:00.000,56.39,0.966,1204.787,1191.274
2023-12-02T05:55:00.000,46.534,1.005,859.664,628.581
2023-12-02T06:00:00.000,33.73,0.895,411.021,1750.566
2023-12-02T06:05:00.000,50.272,0.862,572.839,1536.512
2023-12-02T06:10:00.000,45.667,0.886,527.315,1386.284
2023-12-02T06:15:00.000,41.819,0.945,794.721,955.458
2023-12-02T06:20:00.000,49.896,0.933,1148.161,1160.446
2023-12-02T06:25:00.000,56.216,0.913,1023.757,1669.717
2023-12-02T06:30:00.000,51.831,1.0,948.024,1093.538
2023-12-02T06:35:00.000,49.778,0.948,875.797,650.861
2023-12-02T06:40:00.000,54.552,0.899,783.649,821.541
2023-12-02T06:45:00.000,76.161,0.996,2229.167,405.58
2023-12-02T06:50:00.000,79.479,1.002,2160.089,326.595
2023-12-02T06:55:00.000,55.866,0.909,863.742,2305.293
2023-12-02T07:00:00.000,48.1,1.001,887.362,773.872
2023-12-02T07:05:00.000,51.446,0.925,924.91,1279.021
2023-12-02T07:10:00.000,62.181,0.8160000000000001,1247.665,1648.928
2023-12-02T07:15:00.000,66.316,0.974,925.181,2356.667
2023-12-02T07:20:00.000,57.012,0.898,797.729,1142.987
2023-12-02T07:30:00.000,49.93,0.989,761.228,1312.075
2023-12-03T04:00:00.000,47.584,0.767,758.633,1625.839
2023-12-03T04:05:00.000,65.238,0.804,930.754,1661.43
2023-12-03T04:10:00.000,73.459,0.984,1609.05,2730.494
2023-12-03T04:15:00.000,67.275,0.923,1274.545,1354.595
2023-12-03T04:20:00.000,63.815,0.993,1311.442,604.648
2023-12-03T04:25:00.000,60.387,1.003,978.835,585.554
2023-12-03T04:30:00.000,58.542,1.004,1173.892,602.542
2023-12-03T04:35:00.000,61.677,1.003,1150.485,860.103
2023-12-03T04:40:00.000,57.093,1.004,913.905,1281.287
